Thuis\Uit;Genk;Club Brugge;Union;Anderlecht;Gent;Antwerp
Genk;/;1-2;2-0;3-1;0-0;1-1
Club Brugge;2-1;/;2-1;3-0;1-1;2-1
Union;1-1;1-1;/;2-0;1-1;2-0
Anderlecht;0-2;0-1;1-1;/;0-1;1-1
Gent;0-2;1-2;0-2;0-0;/;2-0
Antwerp;0-2;2-2;2-0;1-1;0-1;/
;;;;;;
Bekerfinale;Anderlecht;;;;;
Club Brugge;2-1;;;;;
;;;;;;
Bekerwinnaar;Club Brugge;(ploeg);;;;
Beste ploeg van POI;Club Brugge;(ploeg);;;;
Topscorer POI;Tolu;(speler);;;;
Assistenkoning POI;Vanaken;(speler);;;;
Meeste Clean Sheats POI;Mignolet;(keeper);;;;
Meeste gemaakte goals POI;Club Brugge;(ploeg);;;;
Minste goals tegen POI;Genk;(ploeg);;;;
Kampioen;Club Brugge;(ploeg);;;;
